case_set,snapshot_update,case_id,env_id,checkpoint,episode_return,episode_length,action_abs_max,target_joint_limit_steps,actual_joint_limit_steps,target_joint_max_excess_rad,actual_joint_max_excess_rad,self_collision_steps,self_collision_max_N,confirmed_nonfoot_ground_steps,confirmed_nonfoot_ground_max_N,foot_ground_steps,nonfinite,primary_fall,height_failure,tilt_failure,timeout,episode_seconds,velocity_tracking_error_mean,velocity_tracking_mean,command_x_mean,command_y_mean,actual_x_mean,actual_y_mean,actual_forward_distance,action_abs_mean,seed,observation_noise_seed
fixed,100,fixed_forward_02,0,/home/xiexuhui/InstinctLab/logs/e1-d8/fixed_lr_20260924/train/20260924_222822_G1ForwardResearch_E1_D8_ForwardResearch_fixed_lr_s42/snapshot_update_100.pt,-3.71998199285008,45,0.40334784984588623,0,0,0.0,0.0,12,35.2926025390625,0,0.0,43,False,True,True,False,False,0.9,1.1524662534395853,0.015924668809546145,0.5,0.0,-0.26713587707943387,0.8220278965102301,-0.2404222893714905,0.089234449631638,12345,991805
fixed,100,fixed_forward_03,0,/home/xiexuhui/InstinctLab/logs/e1-d8/fixed_lr_20260924/train/20260924_222822_G1ForwardResearch_E1_D8_ForwardResearch_fixed_lr_s42/snapshot_update_100.pt,-3.423710761591792,47,0.42896994948387146,0,0,0.0,0.0,11,4.8718953132629395,0,0.0,45,False,True,True,False,False,0.9400000000000001,1.4400618000233427,0.006196910978359613,0.5,0.0,-0.9163778633513349,-0.24446121936148785,-0.8613951915502548,0.09608822934170987,12345,1096534
fixed,100,fixed_forward_04,0,/home/xiexuhui/InstinctLab/logs/e1-d8/fixed_lr_20260924/train/20260924_222822_G1ForwardResearch_E1_D8_ForwardResearch_fixed_lr_s42/snapshot_update_100.pt,-3.3909948767977767,56,0.49634847044944763,0,0,0.0,0.0,24,4.845020771026611,0,0.0,54,False,True,True,False,False,1.12,1.2018089933054787,0.02963246773963078,0.5,0.0,-0.6498921077166285,-0.3348741004509585,-0.7278791606426239,0.10040151846728154,12345,1201263
fixed,100,fixed_forward_05,0,/home/xiexuhui/InstinctLab/logs/e1-d8/fixed_lr_20260924/train/20260924_222822_G1ForwardResearch_E1_D8_ForwardResearch_fixed_lr_s42/snapshot_update_100.pt,-2.8624377441592515,73,0.4990931451320648,0,0,0.0,0.0,25,3.7022712230682373,0,0.0,71,False,True,True,False,False,1.46,1.0424419355719057,0.08954596104952835,0.5,0.0,-0.5306897818633954,-0.14850321116104517,-0.7748070815205574,0.10537236388007255,12345,1305992
fixed,100,fixed_forward_06,0,/home/xiexuhui/InstinctLab/logs/e1-d8/fixed_lr_20260924/train/20260924_222822_G1ForwardResearch_E1_D8_ForwardResearch_fixed_lr_s42/snapshot_update_100.pt,-3.545599910954479,58,0.4230119287967682,0,0,0.0,0.0,0,0.0,0,0.0,56,False,True,True,False,False,1.16,1.1160230204976838,0.03775421116116094,0.5,0.0,-0.5211494048607761,0.4106463813062372,-0.6045333096385003,0.08986713634482746,12345,1410721
fixed,100,fixed_forward_07,0,/home/xiexuhui/InstinctLab/logs/e1-d8/fixed_lr_20260924/train/20260924_222822_G1ForwardResearch_E1_D8_ForwardResearch_fixed_lr_s42/snapshot_update_100.pt,-3.431067248864565,52,0.45833277702331543,0,0,0.0,0.0,16,20.550336837768555,0,0.0,52,False,True,True,False,False,1.04,1.1844897132653456,0.03738189257658702,0.5,0.0,-0.5385734974764861,-0.5244362013271222,-0.5601164373755455,0.09330960621054356,12345,1515450
fixed,300,fixed_forward_00,0,/home/xiexuhui/InstinctLab/logs/e1-d8/fixed_lr_20260924/train/20260924_222822_G1ForwardResearch_E1_D8_ForwardResearch_fixed_lr_s42/snapshot_update_300.pt,-0.6457135956152342,156,1.4431980848312378,0,0,0.0,0.0,0,0.0,0,0.0,154,False,True,True,False,False,3.12,0.5232938115413373,0.4144699880027754,0.5,0.0,0.2777664199925195,0.01314117708721031,0.8666312303766608,0.2079457252358015,12345,782347
fixed,300,fixed_forward_01,0,/home/xiexuhui/InstinctLab/logs/e1-d8/fixed_lr_20260924/train/20260924_222822_G1ForwardResearch_E1_D8_ForwardResearch_fixed_lr_s42/snapshot_update_300.pt,-1.952922208700329,104,1.3857312202453613,3,0,0.015193134546279907,0.0,2,0.761403501033783,0,0.0,102,False,True,True,False,False,2.08,0.5478908683244998,0.4188246019383279,0.5,0.0,0.4390735777739722,0.12574677226635125,0.9132730417698622,0.21022093023818272,12345,887076
fixed,300,fixed_forward_02,0,/home/xiexuhui/InstinctLab/logs/e1-d8/fixed_lr_20260924/train/20260924_222822_G1ForwardResearch_E1_D8_ForwardResearch_fixed_lr_s42/snapshot_update_300.pt,-3.2333094838541,68,0.9044749736785889,9,0,0.073985755443573,0.0,6,134.1953125,0,0.0,66,False,True,True,False,False,1.36,1.1462438299375421,0.03296974613619374,0.5,0.0,-0.5149926773327238,0.5029854259508497,-0.7003900411725045,0.18793828237582655,12345,991805
fixed,300,fixed_forward_03,0,/home/xiexuhui/InstinctLab/logs/e1-d8/fixed_lr_20260924/train/20260924_222822_G1ForwardResearch_E1_D8_ForwardResearch_fixed_lr_s42/snapshot_update_300.pt,-3.2564247468253598,52,0.9103999137878418,1,0,0.02676635980606079,0.0,2,0.6523141264915466,0,0.0,50,False,True,True,False,False,1.04,1.347562089562416,0.013500825109095473,0.5,0.0,-0.8387130917264864,-0.15264013896767908,-0.872261615395546,0.17762844551068085,12345,1096534
fixed,300,fixed_forward_04,0,/home/xiexuhui/InstinctLab/logs/e1-d8/fixed_lr_20260924/train/20260924_222822_G1ForwardResearch_E1_D8_ForwardResearch_fixed_lr_s42/snapshot_update_300.pt,-3.0926873498538043,76,0.9806386232376099,6,0,0.06172558665275574,0.0,24,4.434281349182129,0,0.0,74,False,True,True,False,False,1.52,1.0368099251860066,0.08424972737702646,0.5,0.0,-0.4902942333566515,-0.2878427696659377,-0.7452472347021103,0.19053270687398158,12345,1201263
fixed,300,fixed_forward_05,0,/home/xiexuhui/InstinctLab/logs/e1-d8/fixed_lr_20260924/train/20260924_222822_G1ForwardResearch_E1_D8_ForwardResearch_fixed_lr_s42/snapshot_update_300.pt,-2.179448265582323,90,1.3535702228546143,1,0,0.03480321168899536,0.0,2,1.5278608798980713,0,0.0,88,False,True,True,False,False,1.8,0.5173741675085491,0.4874492468413842,0.5,0.0,0.5276886460397185,-0.12076994772586558,0.9498395628714934,0.19580803455577955,12345,1305992
fixed,300,fixed_forward_06,0,/home/xiexuhui/InstinctLab/logs/e1-d8/fixed_lr_20260924/train/20260924_222822_G1ForwardResearch_E1_D8_ForwardResearch_fixed_lr_s42/snapshot_update_300.pt,-2.9737898457970005,81,0.9193865656852722,3,0,0.03289306163787842,0.0,10,7.901916027069092,0,0.0,79,False,True,True,False,False,1.62,1.0022921319361087,0.10260856032604282,0.5,0.0,-0.45441433042287827,-0.2289074718144458,-0.7361512152850628,0.18037144784574155,12345,1410721
fixed,300,fixed_forward_07,0,/home/xiexuhui/InstinctLab/logs/e1-d8/fixed_lr_20260924/train/20260924_222822_G1ForwardResearch_E1_D8_ForwardResearch_fixed_lr_s42/snapshot_update_300.pt,-3.682273254613392,60,0.9045144319534302,0,0,0.0,0.0,1,3.0965332984924316,0,0.0,59,False,True,True,False,False,1.2,1.1046199003855388,0.056854165954968706,0.5,0.0,-0.4864613778889179,-0.4597627937793732,-0.5837536534667015,0.1919202687839667,12345,1515450
fixed,600,fixed_forward_00,0,/home/xiexuhui/InstinctLab/logs/e1-d8/fixed_lr_20260924/train/20260924_222822_G1ForwardResearch_E1_D8_ForwardResearch_fixed_lr_s42/snapshot_update_600.pt,21.626878388109617,1000,1.7895209789276123,7,0,0.031203240156173706,0.0,3,47.987972259521484,0,0.0,999,False,False,False,False,True,20.0,0.5042225223481656,0.3706357439011335,0.5,0.0,-0.0013478784603066743,0.0022200067838421093,-0.026957569206133486,0.20348051852732896,12345,782347
fixed,600,fixed_forward_01,0,/home/xiexuhui/InstinctLab/logs/e1-d8/fixed_lr_20260924/train/20260924_222822_G1ForwardResearch_E1_D8_ForwardResearch_fixed_lr_s42/snapshot_update_600.pt,21.213500550948083,1000,1.9410063028335571,2,0,0.022923439741134644,0.0,7,11.164045333862305,0,0.0,998,False,False,False,False,True,20.0,0.5046365908980369,0.3682905157804489,0.5,0.0,0.001178940056823194,0.0005324175239074976,0.023578801136463882,0.20719328401982784,12345,887076
fixed,600,fixed_forward_02,0,/home/xiexuhui/InstinctLab/logs/e1-d8/fixed_lr_20260924/train/20260924_222822_G1ForwardResearch_E1_D8_ForwardResearch_fixed_lr_s42/snapshot_update_600.pt,-3.2566081664554076,72,1.4746294021606445,11,0,0.13706910610198975,0.0,4,4.979193687438965,0,0.0,71,False,True,True,False,False,1.44,1.185201955338319,0.029146188998893326,0.5,0.0,-0.6440925138692061,-0.043769142073061734,-0.9274932199716568,0.24440116269720924,12345,991805
fixed,600,fixed_forward_03,0,/home/xiexuhui/InstinctLab/logs/e1-d8/fixed_lr_20260924/train/20260924_222822_G1ForwardResearch_E1_D8_ForwardResearch_fixed_lr_s42/snapshot_update_600.pt,-3.4297244313638657,54,1.271281361579895,7,1,0.08168143033981323,4.380941390991211e-06,1,31.02981185913086,0,0.0,52,False,True,True,False,False,1.08,1.321670096229624,0.014012955868715048,0.5,0.0,-0.8169990695185132,-0.08330781868210545,-0.8823589950799943,0.25487483734333954,12345,1096534
fixed,600,fixed_forward_04,0,/home/xiexuhui/InstinctLab/logs/e1-d8/fixed_lr_20260924/train/20260924_222822_G1ForwardResearch_E1_D8_ForwardResearch_fixed_lr_s42/snapshot_update_600.pt,-2.9941369461012073,79,1.2687199115753174,6,0,0.11252018809318542,0.0,0,0.0,0,0.0,78,False,True,True,False,False,1.58,1.0548478598836102,0.07667799961757632,0.5,0.0,-0.5498605904322637,-0.08765726743996897,-0.8687797328829765,0.253796208508407,12345,1201263
fixed,600,fixed_forward_05,0,/home/xiexuhui/InstinctLab/logs/e1-d8/fixed_lr_20260924/train/20260924_222822_G1ForwardResearch_E1_D8_ForwardResearch_fixed_lr_s42/snapshot_update_600.pt,8.26048349798657,577,1.9269951581954956,4,0,0.029848873615264893,0.0,1,10.103033065795898,0,0.0,575,False,True,True,False,False,11.540000000000001,0.49566698262865044,0.4048468918678848,0.5,0.0,0.08330158356325362,0.01676759138651696,0.9613002743199468,0.22033807200152083,12345,1305992
fixed,600,fixed_forward_06,0,/home/xiexuhui/InstinctLab/logs/e1-d8/fixed_lr_20260924/train/20260924_222822_G1ForwardResearch_E1_D8_ForwardResearch_fixed_lr_s42/snapshot_update_600.pt,21.33661799924448,1000,1.9864671230316162,6,0,0.04764971137046814,0.0,1,21.190189361572266,0,0.0,998,False,False,False,False,True,20.0,0.5028538492769002,0.37541461922228336,0.5,0.0,0.0031130115200357976,-0.000783014807766449,0.06226023040071595,0.21270692732185126,12345,1410721
fixed,600,fixed_forward_07,0,/home/xiexuhui/InstinctLab/logs/e1-d8/fixed_lr_20260924/train/20260924_222822_G1ForwardResearch_E1_D8_ForwardResearch_fixed_lr_s42/snapshot_update_600.pt,-2.2994647152954713,118,1.4456021785736084,10,0,0.12433838844299316,0.0,1,0.43882399797439575,0,0.0,117,False,True,True,False,False,2.36,0.8629693785461329,0.17879538223993008,0.5,0.0,-0.35764145978304196,-0.04733550164968681,-0.844033845087979,0.25504648811736347,12345,1515450
fixed,900,fixed_forward_00,0,/home/xiexuhui/InstinctLab/logs/e1-d8/fixed_lr_20260924/train/20260924_222822_G1ForwardResearch_E1_D8_ForwardResearch_fixed_lr_s42/snapshot_update_900.pt,22.02110343798995,1000,2.15925931930542,16,0,0.06040221452713013,0.0,10,93.85746002197266,0,0.0,999,False,False,False,False,True,20.0,0.5029860461354255,0.37703522519767285,0.5,0.0,-0.00045308646839112044,0.003987335621379316,-0.009061729367822409,0.22508817854523658,12345,782347
fixed,900,fixed_forward_01,0,/home/xiexuhui/InstinctLab/logs/e1-d8/fixed_lr_20260924/train/20260924_222822_G1ForwardResearch_E1_D8_ForwardResearch_fixed_lr_s42/snapshot_update_900.pt,22.13922909926623,1000,2.3087050914764404,32,0,0.12594574689865112,0.0,8,79.07024383544922,0,0.0,998,False,False,False,False,True,20.0,0.5017648731768132,0.3802079518660903,0.5,0.0,0.002528544390981551,0.003210938736621756,0.050570887819631025,0.2383567831516266,12345,887076
fixed,900,fixed_forward_02,0,/home/xiexuhui/InstinctLab/logs/e1-d8/fixed_lr_20260924/train/20260924_222822_G1ForwardResearch_E1_D8_ForwardResearch_fixed_lr_s42/snapshot_update_900.pt,-3.264069498400204,73,1.471297264099121,12,0,0.09390589594841003,0.0,1,4.066014766693115,0,0.0,72,False,True,True,False,False,1.46,1.1805210187010569,0.03193964551473846,0.5,0.0,-0.6522592504138816,0.1526760269109517,-0.9522985056042671,0.24769284565971322,12345,991805
fixed,900,fixed_forward_03,0,/home/xiexuhui/InstinctLab/logs/e1-d8/fixed_lr_20260924/train/20260924_222822_G1ForwardResearch_E1_D8_ForwardResearch_fixed_lr_s42/snapshot_update_900.pt,-3.345511722029187,60,1.2449363470077515,3,0,0.0363309383392334,0.0,0,0.0,0,0.0,58,False,True,True,False,False,1.2,1.2324746588865916,0.025025639452839126,0.5,0.0,-0.7209725320339203,-0.16342055797576904,-0.8651670384407044,0.26258469745516777,12345,1096534
fixed,900,fixed_forward_04,0,/home/xiexuhui/InstinctLab/logs/e1-d8/fixed_lr_20260924/train/20260924_222822_G1ForwardResearch_E1_D8_ForwardResearch_fixed_lr_s42/snapshot_update_900.pt,-3.1982738999067806,72,1.4283521175384521,4,0,0.10007119178771973,0.0,0,0.0,0,0.0,71,False,True,True,False,False,1.44,1.1053916439414024,0.056194529207152226,0.5,0.0,-0.5962779228058126,-0.13153056738277277,-0.8586402088403702,0.26168510214322144,12345,1201263
fixed,900,fixed_forward_05,0,/home/xiexuhui/InstinctLab/logs/e1-d8/fixed_lr_20260924/train/20260924_222822_G1ForwardResearch_E1_D8_ForwardResearch_fixed_lr_s42/snapshot_update_900.pt,8.425070585217327,559,2.4492342472076416,26,0,0.18757861852645874,0.0,3,50.83955001831055,0,0.0,558,False,True,True,False,False,11.18,0.49316854405755006,0.40778547117067165,0.5,0.0,0.08727880213776193,0.01761025792131057,0.9757770079001784,0.23839895556512586,12345,1305992
fixed,900,fixed_forward_06,0,/home/xiexuhui/InstinctLab/logs/e1-d8/fixed_lr_20260924/train/20260924_222822_G1ForwardResearch_E1_D8_ForwardResearch_fixed_lr_s42/snapshot_update_900.pt,10.712988566141576,650,2.2691779136657715,20,0,0.10861009359359741,0.0,6,42.8724250793457,0,0.0,648,False,True,True,False,False,13.0,0.4934634864101043,0.4050335623546002,0.5,0.0,0.0774242305595768,0.00414210332998594,1.0065149972744984,0.23678199246525763,12345,1410721
fixed,900,fixed_forward_07,0,/home/xiexuhui/InstinctLab/logs/e1-d8/fixed_lr_20260924/train/20260924_222822_G1ForwardResearch_E1_D8_ForwardResearch_fixed_lr_s42/snapshot_update_900.pt,-0.4440562994204811,159,2.527935028076172,24,0,0.2220950722694397,0.0,0,0.0,0,0.0,158,False,True,True,False,False,3.18,0.46775319117982433,0.48840013897096235,0.5,0.0,0.28532580948001324,0.05260448403211322,0.9073360741464421,0.2795618012453775,12345,1515450
fixed,1302,fixed_forward_00,0,/home/xiexuhui/InstinctLab/logs/e1-d8/fixed_lr_20260924/train/20260924_222822_G1ForwardResearch_E1_D8_ForwardResearch_fixed_lr_s42/snapshot_update_1302.pt,22.685529188252985,1000,3.4264168739318848,99,0,0.6161487698554993,0.0,10,48.39248275756836,0,0.0,991,False,False,False,False,True,20.0,0.46868412075936794,0.4269054521843791,0.5,0.0,0.03334674944006838,0.0009946493735769764,0.6669349888013676,0.22554839331656695,12345,782347
fixed,1302,fixed_forward_01,0,/home/xiexuhui/InstinctLab/logs/e1-d8/fixed_lr_20260924/train/20260924_222822_G1ForwardResearch_E1_D8_ForwardResearch_fixed_lr_s42/snapshot_update_1302.pt,22.560760545544326,1000,3.140471935272217,91,0,0.49073976278305054,0.0,12,51.6639518737793,0,0.0,996,False,False,False,False,True,20.0,0.47198138312995436,0.42279074954241513,0.5,0.0,0.03200641692476347,-0.00013777042692527175,0.6401283384952694,0.2298961281850934,12345,887076
fixed,1302,fixed_forward_02,0,/home/xiexuhui/InstinctLab/logs/e1-d8/fixed_lr_20260924/train/20260924_222822_G1ForwardResearch_E1_D8_ForwardResearch_fixed_lr_s42/snapshot_update_1302.pt,-3.2577005706261843,66,2.297121286392212,31,6,0.12086540460586548,2.536177635192871e-05,0,0.0,0,0.0,64,False,True,True,False,False,1.32,1.2677206035816309,0.01575341762085651,0.5,0.0,-0.6762510673566298,0.4620324924136653,-0.8926514089107513,0.30298425708756305,12345,991805
fixed,1302,fixed_forward_03,0,/home/xiexuhui/InstinctLab/logs/e1-d8/fixed_lr_20260924/train/20260924_222822_G1ForwardResearch_E1_D8_ForwardResearch_fixed_lr_s42/snapshot_update_1302.pt,-3.2792682924773544,61,1.6971476078033447,15,0,0.23466050624847412,0.0,1,1.2367796897888184,0,0.0,60,False,True,True,False,False,1.22,1.2360524642662924,0.027294382593129843,0.5,0.0,-0.732799344864048,0.026084170234007914,-0.8940152007341385,0.2540240717715904,12345,1096534
fixed,1302,fixed_forward_04,0,/home/xiexuhui/InstinctLab/logs/e1-d8/fixed_lr_20260924/train/20260924_222822_G1ForwardResearch_E1_D8_ForwardResearch_fixed_lr_s42/snapshot_update_1302.pt,22.71446441509761,1000,3.268573522567749,90,0,0.5469222664833069,0.0,13,48.96905517578125,0,0.0,996,False,False,False,False,True,20.0,0.4682599318102002,0.4270856066197157,0.5,0.0,0.034350068140774966,-0.0009454363458498847,0.6870013628154993,0.231590852804482,12345,1201263
fixed,1302,fixed_forward_05,0,/home/xiexuhui/InstinctLab/logs/e1-d8/fixed_lr_20260924/train/20260924_222822_G1ForwardResearch_E1_D8_ForwardResearch_fixed_lr_s42/snapshot_update_1302.pt,22.695922496262938,1000,3.320133924484253,114,0,0.5695355534553528,0.0,19,35.62016296386719,0,0.0,986,False,False,False,False,True,20.0,0.4494606443531811,0.4545005170330405,0.5,0.0,0.05305392288432631,0.0015065329862409271,1.0610784576865262,0.23694964861869813,12345,1305992
fixed,1302,fixed_forward_06,0,/home/xiexuhui/InstinctLab/logs/e1-d8/fixed_lr_20260924/train/20260924_222822_G1ForwardResearch_E1_D8_ForwardResearch_fixed_lr_s42/snapshot_update_1302.pt,22.55541034642374,1000,3.430258274078369,84,0,0.6178335547447205,0.0,5,29.609939575195312,0,0.0,992,False,False,False,False,True,20.0,0.4768963108658791,0.4126857143677771,0.5,0.0,0.028942839025505235,-0.0015369721010793,0.5788567805101047,0.2298590501844883,12345,1410721
fixed,1302,fixed_forward_07,0,/home/xiexuhui/InstinctLab/logs/e1-d8/fixed_lr_20260924/train/20260924_222822_G1ForwardResearch_E1_D8_ForwardResearch_fixed_lr_s42/snapshot_update_1302.pt,-3.1637595563661307,67,1.576155185699463,13,0,0.181596040725708,0.0,0,0.0,0,0.0,67,False,True,True,False,False,1.34,1.1691971163251507,0.05702257554971286,0.5,0.0,-0.6657344819004856,-0.04587972343099171,-0.8920842057466507,0.2635800373643192,12345,1515450
independent_32,0,independent_forward_00,0,/home/xiexuhui/InstinctLab/logs/e1-d8/fixed_lr_20260924/train/20260924_222822_G1ForwardResearch_E1_D8_ForwardResearch_fixed_lr_s42/snapshot_update_000.pt,-2.934562793467194,60,0.25872713327407837,0,10,0.0,0.004099667072296143,2,5.622593402862549,0,0.0,58,False,True,False,True,False,1.2,0.5802359364926815,0.43922688904228074,0.5,0.0,0.7237888759622971,0.2415397647768259,0.8685466511547566,0.06136624719947577,92345,1728347
independent_32,0,independent_forward_01,0,/home/xiexuhui/InstinctLab/logs/e1-d8/fixed_lr_20260924/train/20260924_222822_G1ForwardResearch_E1_D8_ForwardResearch_fixed_lr_s42/snapshot_update_000.pt,-3.714159579569241,43,0.28101658821105957,0,0,0.0,0.0,4,3.671840190887451,0,0.0,43,False,True,True,False,False,0.86,1.4544181657391926,0.0035984568372732562,0.5,0.0,-0.8583473473094231,0.5083627361197804,-0.7381787186861039,0.06485950712894284,92345,1833076
independent_32,0,independent_forward_02,0,/home/xiexuhui/InstinctLab/logs/e1-d8/fixed_lr_20260924/train/20260924_222822_G1ForwardResearch_E1_D8_ForwardResearch_fixed_lr_s42/snapshot_update_000.pt,-3.6145549149805447,47,0.23397251963615417,0,0,0.0,0.0,3,87.39030456542969,0,0.0,45,False,True,True,False,False,0.9400000000000001,1.435524859326951,0.0054212317203102,0.5,0.0,-0.9306638113995815,0.1130640925245082,-0.8748239827156067,0.06426624010534997,92345,1937805
independent_32,0,independent_forward_03,0,/home/xiexuhui/InstinctLab/logs/e1-d8/fixed_lr_20260924/train/20260924_222822_G1ForwardResearch_E1_D8_ForwardResearch_fixed_lr_s42/snapshot_update_000.pt,-3.545825108420104,52,0.21989309787750244,0,0,0.0,0.0,5,20.53947639465332,0,0.0,50,False,True,True,False,False,1.04,1.023460145180042,0.056906995084615955,0.5,0.0,-0.13422980446081895,-0.7749649504056344,-0.1395989966392517,0.06363879280308118,92345,2042534
independent_32,0,independent_forward_04,0,/home/xiexuhui/InstinctLab/logs/e1-d8/fixed_lr_20260924/train/20260924_222822_G1ForwardResearch_E1_D8_ForwardResearch_fixed_lr_s42/snapshot_update_000.pt,-3.160181192375603,54,0.22151830792427063,0,14,0.0,0.0019837617874145508,2,2.2537434101104736,0,0.0,52,False,True,True,False,False,1.08,0.7127310065207658,0.34702259832371324,0.5,0.0,0.7377135267964116,-0.5447951240672005,0.7967306089401245,0.06178738190620034,92345,2147263
independent_32,0,independent_forward_05,0,/home/xiexuhui/InstinctLab/logs/e1-d8/fixed_lr_20260924/train/20260924_222822_G1ForwardResearch_E1_D8_ForwardResearch_fixed_lr_s42/snapshot_update_000.pt,-3.4157423838987597,55,0.28663522005081177,0,0,0.0,0.0,5,310.66326904296875,0,0.0,53,False,True,True,False,False,1.1,0.985756003856659,0.09315644827843528,0.5,0.0,-0.03104562796652317,0.8087482685392553,-0.034150190763175485,0.06339500004594976,92345,2251992
